text,id,reply_msg_id,sender_id,added_user,date
Пп2  ч1 ст27,48738,-1,5475133498,False,1672741960.0
Йес миня вопрос,48737,-1,5475133498,False,1672741902.0
Привет,48736,-1,5475133498,False,1672741841.0
,48735,-1,5475133498,True,1672741782.0
,48733,-1,5771834996,True,1672734694.0
"Всем привет!
Кто-то настраивал интеграцию с amoCRM?",48732,-1,858680167,False,1672733774.0
,48731,-1,716134107,True,1672733647.0
,48730,-1,1104060085,True,1672725430.0
,48729,-1,324927868,True,1672687794.0
"Добрый вечер. Нужен опыт, как после обновления бота в телеге, сделать так, чтобы клиенту не надо было запускать команду /start,  чтобы увидеть обновление или не поймать ошибку. Клиент получается уже пользовался ботом.",48728,-1,634723761,False,1672676188.0
,48727,-1,1656238148,True,1672661322.0
,48725,-1,224443274,True,1672649636.0
,48724,-1,415850280,True,1672638744.0
Спасибо),48723,48718,697113421,False,1672635061.0
,48722,-1,147160397,True,1672634203.0
И ещё момент: недавно в J-Graph добавили возможность экспорта сценария в PNG картинку. Бывает очень полезно при согласовании сценария с заказчиком.,48721,48716,709496,False,1672606801.0
"Зависит от вашего тарифа в Aimylogic, но для большинства тарифов Jaicp открыт по умолчанию. Вы можете перейти из Aimylogic в Jaicp через меню в правом верхнем углу - ваш текущий проект откроется в Jaicp, далее можно перейти в меню Редактор->J-Graph. 

Одно НО: сценарий классического Aimylogic в J-Graph может выглядеть немного по другому - этого связано с особенностями Aimylogic. По нашей практике работы с большими сценариями - иногда бывает проще создать этот сценарий заново в J-Graph, получается проще и в дальнейшем поддерживать его легче.",48720,48719,709496,False,1672605577.0
"дороже чем aimylogic?

у меня в aimylogic очень большой сценарий, браузер виснет на мощном компе. Его можно как-то перенести в Jaicp?",48719,48716,1859185902,False,1672604703.0
А вы можете включить реакции в этой группе?,48718,-1,697113421,False,1672604688.0
👍,48717,48716,697113421,False,1672604673.0
"Это следующее поколение наших конструкторов диалогов. Намного гибче и масштабируемей. Основные преимущества:
- можно создавать подсценарии (через группы стейтов)
- оптимизирован для работы в больших сценариях (больше 100 шагов)
- визуальный отладчик
- можно делать свои блоки (например, на JavaScript) в палитре",48716,-1,709496,False,1672604572.0
"Так J-Graph это же примерно тоже самое, что и aimylogic, разве нет?",48715,48714,697113421,False,1672604356.0
"В Aimylogic нельзя, да. А вот в J-Graph в Jaicp можно добавлять события как активатор или как ожидаемые события. Кстати, в перспективе ближайших пары месяцев J-Graph появится и в Aimylogic - как альтернативная версия конструктора.",48714,48707,709496,False,1672604138.0
,48713,-1,5454402419,True,1672593005.0
,48712,-1,934422407,True,1672591426.0
"С Новым годом 😀 без обид, просто у всех разный уровень знакомства с возможностями конструктора",48711,48706,904930761,False,1672587358.0
Бл(,48709,48708,697113421,False,1672579773.0
нет),48708,48707,349278159,False,1672579573.0
А можно ли в aimylogic отлавливать eventы? (как в jaicp),48707,-1,697113421,False,1672579476.0
Никто почему-то не мог мне помочь это сделать),48706,-1,697113421,False,1672570770.0
"Получилось)))
Спасибо огромное",48705,48700,697113421,False,1672570749.0
Согласен 😁 поддерживаю ❄️ с наступившим! ☃️,48703,48698,904930761,False,1672560840.0
С новым годом!,48702,-1,1721088051,False,1672558441.0
Риал? Попробую)),48701,48700,697113421,False,1672526428.0
Осталось совместить это с блоком код в aimylogic,48700,48682,499559667,False,1672526003.0
Всех с наступающим и наступившим из Екатеринбурга🎉,48698,-1,254468440,False,1672514386.0
Благодарю!взаимно!,48697,48694,2105972692,False,1672510632.0
🎄✨☃️,48695,-1,1666775200,False,1672506277.0
"Всех с Наступающим. С наилучшими пожеланиями. Без границ и политики.
Всем Мира, Добра и Взаимопонимания!!!",48694,-1,1150432659,False,1672506189.0
C наступающим!,48693,-1,697113421,False,1672495723.0
"эй, сообщество! 
с наступающим всех! вы мне уже как вторая семья)",48692,-1,349278159,False,1672494830.0
,48691,-1,371265729,True,1672460155.0
,48689,-1,308615898,True,1672408791.0
,48688,-1,216982244,True,1672401602.0
